AtcoCode,CommonName,LocalityName,Latitude,Longitude,Easting,Northing,Status
700000009907,Killymaddy Cotts,Dungannon,54.49847898,-6.78454564,278801,361798,active
700000009908,Killymaddy Bridge,Dungannon,54.49522269,-6.79309995,278253,361426,active
700000009909,Granville,Dungannon,54.49100731,-6.8001223,277806,360949,active
700000009910,Derryveen,Dungannon,54.48907769,-6.80303362,277621,360731,active
700000009911,Shillingtons Bridge,Dungannon,54.48274241,-6.8110566,277113,360017,active
700000009912,Granville Road,Dungannon,54.48139242,-6.81263861,277013,359865,active
700000009913,Killyliss Crossroads,Dungannon,54.47889576,-6.81547247,276834,359584,active
700000009914,Legilly Road,Dungannon,54.47600083,-6.82353159,276317,359253,active
700000009915,Dunamony Road,Dungannon,54.47337338,-6.82587453,276170,358958,active
700000009916,Legilly Road Upper,Dungannon,54.47004472,-6.83560997,275545,358577,active
700000009917,Raeskmore Road,Dungannon,54.46865391,-6.8395208,275294,358418,active
700000009918,Dalys Corner,Dungannon,54.46698882,-6.84388637,275014,358228,active
700000009919,Greystone Crossroads,Dungannon,54.46498702,-6.84593227,274885,358003,active
700000009920,Derryhone Bridge,Dungannon,54.46656902,-6.86690907,273522,358157,active
700000009921,Aughnacloy Road,Dungannon,54.46784036,-6.87028248,273301,358295,active
700000009922,The Stone Bridge,Dungannon,54.46467324,-6.87457996,273028,357938,active
700000009923,Mullyrodden Crossroads,Dungannon,54.45862421,-6.88006577,272683,357259,active
700000009924,Hayes Saddlery,Dungannon,54.4557274,-6.88643568,272275,356930,active
700000009925,Mc Kees Garage,Dungannon,54.45189063,-6.89418677,271779,356495,active
700000009926,Bawn Xrds,Dungannon,54.44345255,-6.91274145,270590,355537,active
700000009927,Carnteel Crossroads,Dungannon,54.43807083,-6.927772,269624,354923,active
700000009928,Carnteel Road,Dungannon,54.43426357,-6.93713318,269023,354490,active
700000009929,Killeen Corner,Dungannon,54.42691608,-6.94239251,268694,353667,active
700000009930,Magees House,Dungannon,54.41997931,-6.96296756,267370,352875,active
700000009931,Aughnacloy School,Dungannon,54.41773046,-6.96892418,266987,352619,active
700000009932,Dungannon Road,Dungannon,54.41567456,-6.97119388,266843,352388,active
700000009933,Presbyterian Church,Dungannon,54.41323876,-6.9731648,266719,352115,active
700000009934,Moore Street,Dungannon,54.41495872,-6.97681859,266479,352303,active
700000009935,Moore Street,Dungannon,54.41534586,-6.97691677,266472,352346,active
700000009936,Dungannon Street,Dungannon,54.41354851,-6.97472813,266617,352148,active
700000009937,Lisdavil Park,Dungannon,54.41548063,-6.97163003,266815,352366,active
700000009938,Aughnacloy School,Dungannon,54.41788368,-6.96898195,266983,352636,active
700000009939,Magees House,Dungannon,54.42004245,-6.96299678,267368,352882,active
700000009940,Killeen Corner,Dungannon,54.42671462,-6.94298319,268656,353644,active
700000009941,Carnteel Road,Dungannon,54.43439121,-6.93734562,269009,354504,active
700000009942,Carnteel Crossroads,Dungannon,54.43831238,-6.92765781,269631,354950,active
700000009943,Bawn Xrds,Dungannon,54.44357732,-6.91263025,270597,355551,active
700000009944,Mc Kees Garage,Dungannon,54.45194523,-6.89426239,271774,356501,active
700000009945,Hayes Saddlery,Dungannon,54.45580795,-6.88640266,272277,356939,active
700000009946,Mullyrodden Crossroads,Dungannon,54.45890435,-6.88024316,272671,357290,active
700000009947,The Stone Bridge,Dungannon,54.46466527,-6.87468814,273021,357937,active
700000009948,Aughnacloy Road,Dungannon,54.46791207,-6.87026508,273302,358303,active
700000009949,Derryhone Bridge,Dungannon,54.46673126,-6.86696628,273518,358175,active
700000009950,Carnteel Road,Dungannon,54.46630276,-6.85581207,274242,358139,active
700000009951,Greystone Crossroads,Dungannon,54.46489308,-6.84644385,274852,357992,active
700000009952,Dalys Corner,Dungannon,54.4668653,-6.84412119,274999,358214,active
700000009953,Raeskmore Road,Dungannon,54.46876139,-6.83948691,275296,358430,active
700000009954,Legilly Road Upper,Dungannon,54.47009082,-6.83573205,275537,358582,active
700000009955,Dunamony Road,Dungannon,54.47334225,-6.82636904,276138,358954,active
700000009956,Legilly Road,Dungannon,54.47591311,-6.82375008,276303,359243,active
700000009957,Killyliss Crossroads,Dungannon,54.4789766,-6.81547013,276834,359593,active
700000009958,Aughnacloy Road,Dungannon,54.4814565,-6.81276018,277005,359872,active
700000009959,Shillingtons Bridge,Dungannon,54.48355485,-6.81053929,277145,360108,active
700000009960,Derryveen,Dungannon,54.48914209,-6.80318605,277611,360738,active
700000009961,Burnsides Cottage,Dungannon,54.49113289,-6.80010319,277807,360963,active
700000009962,Caseys Farm,Dungannon,54.49500494,-6.79378545,278209,361401,active
700000009963,Killymaddy Cottages,Dungannon,54.49852482,-6.78463689,278795,361803,active
700000009964,Sheills Sawmill,Dungannon,54.50261695,-6.78329596,278874,362260,active
700000009965,Ballygawley Road,Dungannon,54.50343107,-6.77672655,279298,362358,active
700000009966,Lidl Store,Dungannon,54.50241611,-6.77408635,279471,362248,active
700000009967,Cunninghams Lane,Dungannon,54.50237094,-6.75385048,280782,362266,active
